Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,80646205,21,01,20221230,0,"60035453  ","60035453        ",AA30,050002,2,"  ",60035453,245019,00
Yes,AA30,060000,01,80646206,21,01,20221230,0,"60035444  ","60035444        ",AA30,050002,2,"  ",60035444,244912,00
Yes,AA30,060000,01,80646209,21,01,20221230,0,"60035338  ","60035338        ",AA30,000000,2,"  ",60035338,238421,00
Yes,AA30,060000,01,80646210,21,01,20221230,0,"60035377  ","60035377        ",AA30,000000,2,"  ",60035377,239887,00
Yes,AA30,060000,01,80646211,21,01,20221230,0,"60035378  ","60035378        ",AA30,000000,2,"  ",60035378,239898,00
Yes,AA30,060000,01,80646212,21,01,20221230,0,"60035376  ","60035376        ",AA30,000000,2,"  ",60035376,239876,00
Yes,AA30,060000,01,80646213,21,01,20221230,0,"60035395  ","60035395        ",AA30,000000,2,"  ",60035395,243137,00
Yes,AA30,060000,01,80646214,21,01,20221230,0,"60035375  ","60035375        ",AA30,000000,2,"  ",60035375,239865,00
Yes,AA30,060000,01,80646215,21,01,20221230,0,"60035449  ","60035449        ",AA30,000000,2,"  ",60035449,244978,00
Yes,AA30,060000,01,80646216,21,01,20221230,0,"60035391  ","60035391        ",AA30,000000,2,"  ",60035391,242702,00
Yes,AA30,060000,01,80646217,21,01,20221230,0,"60035380  ","60035380        ",AA30,000000,2,"  ",60035380,239912,00
Yes,AA30,060000,01,80646218,21,01,20221230,0,"60035339  ","60035339        ",AA30,000000,2,"  ",60035339,239446,00
Yes,AA30,060000,01,80646219,21,01,20221230,0,"60035426  ","60035426        ",AA30,000000,2,"  ",60035426,244694,00
Yes,AA30,060000,01,80646220,21,01,20221230,0,"13794055  ","13794055        ",AA30,050002,2,"  ",13794055,237280,00
Yes,AA30,060000,01,80646221,21,01,20221230,0,"13795194  ","13795194        ",AA30,050002,2,"  ",13795194,245879,00
Yes,AA30,060000,01,80646222,21,01,20221230,0,"13795316  ","13795316        ",AA30,050002,2,"  ",13795316,246703,00
Yes,AA30,060000,01,80646223,21,01,20221230,0,"13795137  ","13795137        ",AA30,050002,1,"  ",13795137,245562,00
Yes,AA30,060000,01,80646224,21,01,20221230,0,"13795532  ","13795532        ",AA30,050002,2,"  ",13795532,248050,00
Yes,AA30,060000,01,80646225,21,01,20221230,0,"13795671  ","13795671        ",AA30,050002,2,"  ",13795671,249133,00
Yes,AA30,060000,01,80646226,21,01,20221230,0,"13795249  ","13795249        ",AA30,050002,2,"  ",13795249,246317,00
Yes,AA30,060000,01,80646227,21,01,20221230,0,"60035491  ","60035491        ",AA30,050002,2,"  ",60035491,248775,00
Yes,AA30,060000,01,80646207,21,01,20221230,0,"60035460  ","60035460        ",AA30,050002,2,"  ",60035460,246849,00
Yes,AA30,060000,01,80646208,21,01,20221230,0,"60035450  ","60035450        ",AA30,050002,2,"  ",60035450,244989,00
Yes,AA30,060000,01,80646228,21,01,20221230,0,"60035485  ","60035485        ",AA30,050002,2,"  ",60035485,248710,00
Yes,AA30,060000,01,80646229,21,01,20221230,0,"60035484  ","60035484        ",AA30,050002,2,"  ",60035484,248709,00
Yes,AA30,060000,01,80646230,21,01,20221230,0,"60035486  ","60035486        ",AA30,050002,2,"  ",60035486,248720,00
Yes,AA30,060000,01,80646231,21,01,20221230,0,"60035467  ","60035467        ",AA30,050002,2,"  ",60035467,247047,00
Yes,AA30,060000,01,80646232,21,01,20221230,0,"60035465  ","60035465        ",AA30,050002,2,"  ",60035465,247025,00
Yes,AA30,060000,01,80646233,21,01,20221230,0,"60035487  ","60035487        ",AA30,050002,2,"  ",60035487,248731,00
Yes,AA30,060000,01,80646234,21,01,20221230,0,"60035490  ","60035490        ",AA30,050002,2,"  ",60035490,248764,00
Yes,AA30,060000,01,80646235,21,01,20221230,0,"60035489  ","60035489        ",AA30,050002,2,"  ",60035489,248753,00
Yes,AA30,060000,01,80646236,21,01,20221230,0,"60035429  ","60035429        ",AA30,050002,2,"  ",60035429,244763,00
Yes,AA30,060000,01,80646237,21,01,20221230,0,"60035433  ","60035433        ",AA30,050002,2,"  ",60035433,244800,00
Yes,AA30,060000,01,80646238,21,01,20221230,0,"60035410  ","60035410        ",AA30,050002,2,"  ",60035410,244537,00
Yes,AA30,060000,01,80646239,21,01,20221230,0,"60035420  ","60035420        ",AA30,050002,2,"  ",60035420,244639,00
Yes,AA30,060000,01,80646240,21,01,20221230,0,"60035428  ","60035428        ",AA30,050002,2,"  ",60035428,244752,00
Yes,AA30,060000,01,80646241,21,01,20221230,0,"60035419  ","60035419        ",AA30,050002,2,"  ",60035419,244628,00
Yes,AA30,060000,01,80646242,21,01,20221230,0,"60035430  ","60035430        ",AA30,050002,2,"  ",60035430,244774,00
Yes,AA30,060000,01,80646243,21,01,20221230,0,"60035406  ","60035406        ",AA30,050002,2,"  ",60035406,244490,00
Yes,AA30,060000,01,80646244,21,01,20221230,0,"60035432  ","60035432        ",AA30,050002,2,"  ",60035432,244796,00
Yes,AA30,060000,01,80646245,21,01,20221230,0,"60035404  ","60035404        ",AA30,050002,2,"  ",60035404,244479,00
Yes,AA30,060000,01,80646246,21,01,20221230,0,"60035405  ","60035405        ",AA30,050002,2,"  ",60035405,244480,00
Yes,AA30,060000,01,80646247,21,01,20221230,0,"60035408  ","60035408        ",AA30,050002,2,"  ",60035408,244515,00
Yes,AA30,060000,01,80646248,21,01,20221230,0,"60035431  ","60035431        ",AA30,050002,2,"  ",60035431,244785,00
Yes,AA30,060000,01,80646249,21,01,20221230,0,"60035436  ","60035436        ",AA30,050002,2,"  ",60035436,244832,00
Yes,AA30,060000,01,80646250,21,01,20221230,0,"60035461  ","60035461        ",AA30,050002,2,"  ",60035461,246984,00
Yes,AA30,060000,01,80646251,21,01,20221230,0,"60035274  ","60035274        ",AA30,050002,2,"  ",60035274,233304,00
Yes,AA30,060000,01,80646252,21,01,20221230,0,"60035440  ","60035440        ",AA30,050002,2,"  ",60035440,244876,00
Yes,AA30,060000,01,80646253,21,01,20221230,0,"60035439  ","60035439        ",AA30,050002,2,"  ",60035439,244865,00
Yes,AA30,060000,01,80646254,21,01,20221230,0,"60035441  ","60035441        ",AA30,050002,2,"  ",60035441,244887,00
Yes,AA30,060000,01,80646255,21,01,20221230,0,"60035397  ","60035397        ",AA30,050002,2,"  ",60035397,243727,00
Yes,AA30,060000,01,80646256,21,01,20221230,0,"60035184  ","60035184        ",AA30,050002,2,"  ",60035184,232185,00
Yes,AA30,060000,01,80646257,21,01,20221230,0,"60035414  ","60035414        ",AA30,050002,2,"  ",60035414,244570,00
Yes,AA30,060000,01,80646258,21,01,20221230,0,"60035362  ","60035362        ",AA30,050002,2,"  ",60035362,239720,00
Yes,AA30,060000,01,80646259,21,01,20221230,0,"60035415  ","60035415        ",AA30,050002,2,"  ",60035415,244581,00
Yes,AA30,060000,01,80646260,21,01,20221230,0,"60035473  ","60035473        ",AA30,050002,2,"  ",60035473,248378,00
