Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77501261,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13792291,223720,00
Yes,AA30,060000,01,77501262,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13792291,223720,00
Yes,AA30,060000,01,77501265,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795353,246929,00
Yes,AA30,060000,01,77501266,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795531,248040,00
Yes,AA30,060000,01,77501268,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795231,246180,00
Yes,AA30,060000,03,77501274,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796228,380118,00
Yes,AA30,060000,04,77501295,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796240,724545,00
Yes,AA30,060000,01,77501345,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795521,247965,00
Yes,AA30,060000,01,77501346,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795470,247590,00
Yes,AA30,060000,01,77501347,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795237,246237,00
Yes,AA30,060000,01,77501348,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795349,246893,00
Yes,AA30,060000,01,77501349,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13794936,244005,00
Yes,AA30,060000,01,77501350,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794955,244184,00
Yes,AA30,060000,01,77501351,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794933,243975,00
Yes,AA30,060000,01,77501352,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794937,244016,00
Yes,AA30,060000,01,77501353,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794972,244300,00
Yes,AA30,060000,01,77501354,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795451,247546,00
Yes,AA30,060000,01,77501355,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795408,247331,00
Yes,AA30,060000,01,77501356,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795348,246882,00
Yes,AA30,060000,01,77501357,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794316,239195,00
Yes,AA30,060000,01,77501358,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794924,243920,00
Yes,AA30,060000,01,77501359,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794314,239173,00
Yes,AA30,060000,01,77501360,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794398,240106,00
Yes,AA30,060000,01,77501361,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795019,245100,00
Yes,AA30,060000,01,77501362,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794943,244071,00
Yes,AA30,060000,01,77501363,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794244,238578,00
Yes,AA30,060000,01,77501364,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794938,244027,00
Yes,AA30,060000,01,77501365,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794594,241608,00
Yes,AA30,060000,04,77501203,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796201,724534,00
Yes,AA30,060000,01,77501204,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796202,252706,00
Yes,AA30,060000,01,77501366,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794404,240150,00
Yes,AA30,060000,01,77501367,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794934,243986,00
Yes,AA30,060000,01,77501368,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794963,244231,00
Yes,AA30,060000,01,77501369,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13794935,243997,00
Yes,AA30,060000,01,77501370,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794558,241368,00
Yes,AA30,060000,01,77501371,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794763,242677,00
Yes,AA30,060000,01,77501372,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794770,242746,00
Yes,AA30,060000,01,77501373,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793860,236110,00
Yes,AA30,060000,01,77501375,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794647,242087,00
Yes,AA30,060000,01,77501376,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795267,246408,00
Yes,AA30,060000,01,77501377,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794721,242575,00
Yes,AA30,060000,01,77501378,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794306,239118,00
Yes,AA30,060000,01,77501379,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794756,242655,00
Yes,AA30,060000,01,77501380,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795268,246452,00
Yes,AA30,060000,01,77501381,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793832,236018,00
Yes,AA30,060000,01,77501383,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795383,247182,00
Yes,AA30,060000,01,77501384,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794806,243024,00
Yes,AA30,060000,01,77501386,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794807,243035,00
Yes,AA30,060000,01,77501387,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794581,241492,00
Yes,AA30,060000,01,77501388,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794809,243080,00
Yes,AA30,060000,01,77501389,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794892,243658,00
Yes,AA30,060000,01,77501390,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794877,243556,00
Yes,AA30,060000,01,77501391,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794882,243589,00
Yes,AA30,060000,01,77501392,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794779,242826,00
Yes,AA30,060000,01,77501393,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794950,244140,00
Yes,AA30,060000,01,77501394,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794848,243374,00
Yes,AA30,060000,01,77501395,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794259,238691,00
Yes,AA30,060000,01,77501396,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794579,241470,00
Yes,AA30,060000,01,77501397,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794841,243308,00
Yes,AA30,060000,01,77501398,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794874,243534,00
Yes,AA30,060000,01,77501399,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794824,243192,00
Yes,AA30,060000,01,77501400,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794840,243294,00
Yes,AA30,060000,01,77501401,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794801,242994,00
Yes,AA30,060000,01,77501402,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794050,237247,00
Yes,AA30,060000,01,77501403,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793822,235999,00
Yes,AA30,060000,01,77501406,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794899,243705,00
Yes,AA30,060000,01,77501409,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794899,243705,00
Yes,AA30,060000,01,77501410,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794899,243705,00
Yes,AA30,060000,01,77501412,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795521,247965,00
Yes,AA30,060000,01,77501413,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795521,247965,00
Yes,AA30,060000,01,77501415,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795470,247590,00
Yes,AA30,060000,01,77501416,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795470,247590,00
Yes,AA30,060000,01,77501419,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795237,246237,00
Yes,AA30,060000,01,77501420,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795237,246237,00
Yes,AA30,060000,01,77501422,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795349,246893,00
Yes,AA30,060000,01,77501423,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795349,246893,00
Yes,AA30,060000,01,77501426,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13794936,244005,00
Yes,AA30,060000,01,77501427,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13794936,244005,00
Yes,AA30,060000,01,77501430,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794955,244184,00
Yes,AA30,060000,01,77501431,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794955,244184,00
Yes,AA30,060000,01,77501435,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794933,243975,00
Yes,AA30,060000,01,77501436,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794933,243975,00
Yes,AA30,060000,01,77501438,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794937,244016,00
Yes,AA30,060000,01,77501439,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794937,244016,00
Yes,AA30,060000,01,77501441,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794972,244300,00
Yes,AA30,060000,01,77501442,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794972,244300,00
Yes,AA30,060000,01,77501444,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795451,247546,00
Yes,AA30,060000,01,77501445,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795451,247546,00
Yes,AA30,060000,01,77501447,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795408,247331,00
Yes,AA30,060000,01,77501448,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795408,247331,00
Yes,AA30,060000,01,77501450,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795348,246882,00
Yes,AA30,060000,01,77501451,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795348,246882,00
Yes,AA30,060000,01,77501453,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794316,239195,00
Yes,AA30,060000,01,77501454,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794316,239195,00
Yes,AA30,060000,01,77501456,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794924,243920,00
Yes,AA30,060000,01,77501457,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794924,243920,00
Yes,AA30,060000,01,77501459,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794314,239173,00
Yes,AA30,060000,01,77501460,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794314,239173,00
Yes,AA30,060000,01,77501462,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794398,240106,00
Yes,AA30,060000,01,77501463,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794398,240106,00
Yes,AA30,060000,01,77501465,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795019,245100,00
Yes,AA30,060000,01,77501466,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795019,245100,00
Yes,AA30,060000,01,77501468,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794943,244071,00
Yes,AA30,060000,01,77501469,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794943,244071,00
Yes,AA30,060000,01,77501471,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794244,238578,00
Yes,AA30,060000,01,77501472,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794244,238578,00
Yes,AA30,060000,01,77501477,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794594,241608,00
Yes,AA30,060000,01,77501478,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794594,241608,00
Yes,AA30,060000,01,77501481,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794404,240150,00
Yes,AA30,060000,01,77501482,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794404,240150,00
Yes,AA30,060000,01,77501484,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794934,243986,00
Yes,AA30,060000,01,77501485,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794934,243986,00
